role,table,op,expected,actual_outcome,actual_rows,actual_error,verdict,note
subscriber,custody_transfers,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""custody_transfers""",PASS,
subscriber,custody_transfers,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,custody_transfers,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,demo_personas,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,demo_personas,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""demo_personas""",PASS,
subscriber,demo_personas,SELECT,SCOPED,ALLOWED,9,,PASS,
subscriber,demo_personas,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,distributors,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,distributors,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""distributors""",PASS,
subscriber,distributors,SELECT,SCOPED,ALLOWED,0,,GAP,
subscriber,distributors,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,districts,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,districts,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""districts""",PASS,
subscriber,districts,SELECT,SCOPED,ALLOWED,136,,PASS,
subscriber,districts,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,employer_invites,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,employer_invites,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""employer_invites""",PASS,
subscriber,employer_invites,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,employer_invites,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,employers,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,employers,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""employers""",PASS,
subscriber,employers,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,employers,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,entity_detach_log,DELETE,DENY,ERROR,,permission denied for table entity_detach_log,PASS,
subscriber,entity_detach_log,INSERT,DENY,ERROR,,permission denied for table entity_detach_log,PASS,
subscriber,entity_detach_log,SELECT,DENY,ERROR,,permission denied for table entity_detach_log,PASS,
subscriber,entity_detach_log,UPDATE,DENY,ERROR,,permission denied for table entity_detach_log,PASS,
subscriber,entity_status_log,DELETE,DENY,ERROR,,permission denied for table entity_status_log,PASS,
subscriber,entity_status_log,INSERT,DENY,ERROR,,permission denied for table entity_status_log,PASS,
subscriber,entity_status_log,SELECT,DENY,ERROR,,permission denied for table entity_status_log,PASS,
subscriber,entity_status_log,UPDATE,DENY,ERROR,,permission denied for table entity_status_log,PASS,
subscriber,insurance_policies,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,insurance_policies,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""insurance_policies""",PASS,
subscriber,insurance_policies,SELECT,SCOPED,ALLOWED,1,,PASS,
subscriber,insurance_policies,UPDATE,DENY,ALLOWED,1,,FAIL,
subscriber,money_nonces,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,money_nonces,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""money_nonces""",PASS,
subscriber,money_nonces,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,money_nonces,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,nav_snapshots,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,nav_snapshots,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""nav_snapshots""",PASS,
subscriber,nav_snapshots,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,nav_snapshots,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,nominee_claims,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,nominee_claims,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""nominee_claims""",PASS,
subscriber,nominee_claims,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,nominee_claims,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,nominees,DELETE,DENY,ALLOWED,3,,FAIL,
subscriber,nominees,INSERT,DENY,ALLOWED-RLS-PASSED,(post-RLS unique violation),"duplicate key value violates unique constraint ""nominees_subscriber_id_type_unique""",FAIL,RLS WITH CHECK passed; only the unique index stopped the row
subscriber,nominees,SELECT,SCOPED,ALLOWED,3,,PASS,
subscriber,nominees,UPDATE,DENY,ALLOWED,3,,FAIL,
subscriber,notifications,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,notifications,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""notifications""",PASS,
subscriber,notifications,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,notifications,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,regions,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,regions,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""regions""",PASS,
subscriber,regions,SELECT,SCOPED,ALLOWED,4,,PASS,
subscriber,regions,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,settlement_batches,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,settlement_batches,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""settlement_batches""",PASS,
subscriber,settlement_batches,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,settlement_batches,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,settlement_uploads,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,settlement_uploads,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""settlement_uploads""",PASS,
subscriber,settlement_uploads,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,settlement_uploads,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,subscriber_balances,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,subscriber_balances,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""subscriber_balances""",PASS,
subscriber,subscriber_balances,SELECT,SCOPED,ALLOWED,1,,PASS,
subscriber,subscriber_balances,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,subscriber_balances_pre_nav,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,subscriber_balances_pre_nav,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""subscriber_balances_pre_nav""",PASS,
subscriber,subscriber_balances_pre_nav,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,subscriber_balances_pre_nav,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,subscriber_insurance_products,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,subscriber_insurance_products,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""subscriber_insurance_products""",PASS,
subscriber,subscriber_insurance_products,SELECT,SCOPED,ALLOWED,2,,PASS,
subscriber,subscriber_insurance_products,UPDATE,DENY,ALLOWED,2,,FAIL,
subscriber,subscriber_signup_uploads,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,subscriber_signup_uploads,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""subscriber_signup_uploads""",PASS,
subscriber,subscriber_signup_uploads,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,subscriber_signup_uploads,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,subscribers,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,subscribers,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""subscribers""",PASS,
subscriber,subscribers,SELECT,SCOPED,ALLOWED,1,,PASS,
subscriber,subscribers,UPDATE,DENY,ALLOWED,1,,FAIL,
subscriber,subscribers_unit_value_pre_nav,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,subscribers_unit_value_pre_nav,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""subscribers_unit_value_pre_nav""",PASS,
subscriber,subscribers_unit_value_pre_nav,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,subscribers_unit_value_pre_nav,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,transactions,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,transactions,INSERT,DENY,ALLOWED,1,,FAIL,
subscriber,transactions,SELECT,SCOPED,ALLOWED,10,,PASS,
subscriber,transactions,UPDATE,DENY,ALLOWED,0,,PASS,
subscriber,users,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,users,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""users""",PASS,
subscriber,users,SELECT,DENY,ALLOWED,0,,PASS,
subscriber,users,UPDATE,DENY,ERROR,,permission denied for table users,PASS,
subscriber,withdrawals,DELETE,DENY,ALLOWED,0,,PASS,
subscriber,withdrawals,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""withdrawals""",PASS,
subscriber,withdrawals,SELECT,SCOPED,ALLOWED,1,,PASS,
subscriber,withdrawals,UPDATE,DENY,ALLOWED,0,,PASS,
agent,access_requests,DELETE,DENY,ALLOWED,0,,PASS,
agent,access_requests,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""access_requests""",PASS,
agent,access_requests,SELECT,DENY,ALLOWED,0,,PASS,
agent,access_requests,UPDATE,DENY,ALLOWED,0,,PASS,
agent,agent_referrals,DELETE,DENY,ALLOWED,0,,PASS,
agent,agent_referrals,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""agent_referrals""",PASS,
agent,agent_referrals,SELECT,DENY,ALLOWED,0,,PASS,
agent,agent_referrals,UPDATE,DENY,ALLOWED,0,,PASS,
agent,agents,DELETE,DENY,ALLOWED,0,,PASS,
agent,agents,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""agents""",PASS,
agent,agents,SELECT,SCOPED,ALLOWED,1,,PASS,
agent,agents,UPDATE,DENY,ALLOWED,0,,PASS,
agent,branches,DELETE,DENY,ALLOWED,0,,PASS,
agent,branches,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""branches""",PASS,
agent,branches,SELECT,SCOPED,ALLOWED,1,,PASS,
agent,branches,UPDATE,DENY,ALLOWED,0,,PASS,
agent,claims,DELETE,DENY,ALLOWED,0,,PASS,
agent,claims,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""claims""",PASS,
agent,claims,SELECT,SCOPED,ALLOWED,1,,PASS,
agent,claims,UPDATE,DENY,ALLOWED,0,,PASS,
agent,commission_config,DELETE,DENY,ALLOWED,0,,PASS,
agent,commission_config,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""commission_config""",PASS,
agent,commission_config,SELECT,SCOPED,ALLOWED,1,,PASS,
agent,commission_config,UPDATE,DENY,ALLOWED,0,,PASS,
agent,commissions,DELETE,DENY,ALLOWED,0,,PASS,
agent,commissions,INSERT,DENY,ERROR,,"new row violates row-level security policy for table ""commissions""",PASS,
agent,commissions,SELECT,SCOPED,ALLOWED,14,,PASS,
agent,commissions,UPDATE,DENY,ALLOWED,0,,PASS,
agent,contact_submissions,DELETE,DENY,ALLOWED,0,,PASS,
